,pPTEN,pPI3K,pAKT,pGSK3B,PTEN,PI3K,AKT,GSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
2.897389738973897,0.08085497777138806,0.8857622449459491,0.4123387607845352,0.1957815791080951,0.9191450222286122,0.1142377550540507,0.5876612392154646,0.8042184208919047,1.8896659344076574,0.0,0.0,0.0,0.0,1.417249450805743,0.2617629898037387,0.14363205600495535
2.997299729972997,0.08217370183532302,0.8887627697228064,0.42340954848895596,0.20596606276340004,0.9178262981646772,0.11123723027719347,0.5765904515110438,0.7940339372365998,1.9001566225575306,0.0,0.0,0.0,0.0,1.425117466918148,0.27328980042267703,0.15166193065069697
3.097209720972097,0.083418340579196,0.8913267492880397,0.4339323563189435,0.21587629527656782,0.9165816594208043,0.10867325071196011,0.5660676436810563,0.7841237047234321,1.9096498441742986,0.0,0.0,0.0,0.0,1.4322373831307238,0.28477645140677127,0.15964824004311368
3.197119711971197,0.08459204988978221,0.8935261386786745,0.44393106952524436,0.22549540963163733,0.915407950110218,0.1064738613213254,0.5560689304747555,0.7745045903683625,1.9182404395082857,0.0,0.0,0.0,0.0,1.438680329631214,0.2962162649780791,0.1675755587558559
3.297029702970297,0.08569794838354639,0.8954210541307631,0.45342913910377647,0.2348104688922168,0.9143020516164538,0.10457894586923687,0.5465708608962234,0.7651895311077831,1.9260142312877768,0.0,0.0,0.0,0.0,1.4445106734658324,0.30760330263506236,0.17543011808135478
3.3969396939693968,0.08673910451533268,0.8970615834650246,0.46244945287380673,0.2438120535653189,0.9132608954846675,0.10293841653497533,0.5375505471261931,0.756187946434681,1.9330488821084095,0.0,0.0,0.0,0.0,1.449786661581307,0.3189322938245929,0.18319973549637328
3.4968496849684967,0.08771852567574813,0.8984893611495013,0.4710142430065445,0.2524938686094535,0.912281474324252,0.10151063885049882,0.5289857569934554,0.7475061313905463,1.939414670409863,0.0,0.0,0.0,0.0,1.4545610028073974,0.33019857139714626,0.19087373548789885
3.5967596759675966,0.08863914911461451,0.8997389344483746,0.4791450225597109,0.26085237289618374,0.9113608508853857,0.10026106555162556,0.520854977440289,0.7391476271038162,1.945175192423677,0.0,0.0,0.0,0.0,1.4588813943177579,0.3413980132298758,0.1984428640347953
3.6966696669666965,0.08950383452694062,0.9008389335196028,0.4868625439724799,0.26888643364657744,0.9104961654730596,0.0991610664803975,0.5131374560275199,0.7311135663534225,1.950387997467793,0.0,0.0,0.0,0.0,1.4627909981008447,0.35252698940294624,0.20589919898757153
3.7965796579657964,0.09031535813244591,0.9018130635099348,0.49418677463551114,0.2765970068112583,0.9096846418675543,0.09818693649006537,0.5058132253644887,0.7234029931887417,1.9551051630770635,0.0,0.0,0.0,0.0,1.4663288723077976,0.3635823143883683,0.21323605822268793
3.8964896489648964,0.09107640809672507,0.9026809453170536,0.501136886088637,0.28398684333815977,0.9089235919032751,0.09731905468294665,0.49886311391136284,0.7160131566618403,1.9593738152122557,0.0,0.0,0.0,0.0,1.4695303614091917,0.3745612038144682,0.22044790695896674
3.9963996399639963,0.09178958114608274,0.903458820613277,0.5077312535226802,0.2910602213080855,0.9082104188539175,0.09654117938672334,0.49226874647731955,0.7089397786919146,1.9632365990459293,0.0,0.0,0.0,0.0,1.4724274492844467,0.38546123534780563,0.2275302656794854
4.096309630963096,0.09245738023444104,0.9041601407792682,0.5139874631013164,0.29782270318713444,0.9075426197655593,0.09583985922073217,0.4860125368986834,0.7021772968128656,1.9667321050004045,0.0,0.0,0.0,0.0,1.4750490787503034,0.39628031330295016,0.23447961974189682
4.196219621962196,0.09308221313177963,0.904796057811371,0.5199223251585181,0.3042809171539818,0.9069177868682206,0.09520394218862945,0.4800776748414817,0.6957190828460184,1.9698952542746444,0.0,0.0,0.0,0.0,1.4774214407059834,0.407016636627059,0.24129333155384847
4.296129612961296,0.09366639181469498,0.9053758308405183,0.5255518917943843,0.31044236125677854,0.9063336081853052,0.09462416915948207,0.47444810820561534,0.6895576387432215,1.9727576477201059,0.0,0.0,0.0,0.0,1.4795682357900792,0.41766866993759516,0.24796955603446527
4.3960396039603955,0.094212132548669,0.9059071622156744,0.5308914776405904,0.31631522900631587,0.9057878674513312,0.09409283778432612,0.46910852235940925,0.6836847709936842,1.975347881543274,0.0,0.0,0.0,0.0,1.4815109111574554,0.4282351173233884,0.25450715990007083
4.495949594959495,0.09472155656204664,0.9063964746581076,0.53595568284646,0.3219082549359428,0.9052784434379536,0.09360352534189287,0.4640443171535398,0.6780917450640573,1.9776918329905755,0.0,0.0,0.0,0.0,1.4832688747429315,0.4387148986460755,0.260905645176184
4.595859585958595,0.09519669122113701,0.9068491390639316,0.540758417550861,0.3272305786181275,0.9048033087788632,0.09315086093606874,0.4592415824491389,0.6727694213818726,1.9798129188725218,0.0,0.0,0.0,0.0,1.484859689154391,0.4491071281038582,0.2671650772116232
4.695769576957695,0.09563947162457097,0.9072696615140707,0.545312927249829,0.3322916256340807,0.9043605283754292,0.09273033848592965,0.45468707275017073,0.6677083743659195,1.9817323295123594,0.0,0.0,0.0,0.0,1.486299247134269,0.4594110948421511,0.27328601736718816
4.795679567956795,0.09605174254303533,0.9076618366790613,0.5496318185994492,0.3371010040090864,0.9039482574569649,0.09233816332093904,0.45036818140055074,0.6628989959909138,1.983469240477014,0.0,0.0,0.0,0.0,1.4876019303577601,0.46962624541464426,0.2792694604580055
4.895589558955895,0.09643526066682825,0.9080288710409465,0.5537270854374751,0.3416684154348245,0.9035647393331719,0.09197112895905385,0.4462729145625249,0.6583315845651757,1.9850410030818972,0.0,0.0,0.0,0.0,1.4887807523114225,0.47975216801213566,0.2851167770294433
4.995499549954995,0.0967916943538911,0.9083734879271383,0.5576101135895193,0.34600355328586546,0.9032083056461092,0.09162651207286232,0.4423898864104805,0.6539964467141346,1.9864633071295335,0.0,0.0,0.0,0.0,1.4770190514899648,0.4897367881993963,0.2908286843123714
5.095409540954095,0.09712263704557841,0.9086979820848119,0.5612917905985032,0.3501161322476725,0.902877362954422,0.09130201791518879,0.43870820940149663,0.6498838677523275,1.9877503920106236,0.0,0.0,0.0,0.0,1.462335628652588,0.49947838390824667,0.2963997994258396
5.195319531953195,0.09742959376861383,0.9090042474210307,0.5647824027560452,0.35401569263735,0.9025704062313866,0.0909957525789699,0.4352175972439547,0.64598430736265,1.988915101362994,0.0,0.0,0.0,0.0,1.4477981774463387,0.5089778923351007,0.30182359174194234
5.295229522952295,0.09771399365192876,0.9092916225471032,0.5680917322074044,0.3577116396120434,0.9022860063480717,0.09070837745289746,0.4319082677925951,0.642288360387957,1.989228495869992,0.0,0.0,0.0,0.0,1.433405253046518,0.5182391536064174,0.3070954586171643
5.395139513951395,0.09797719456226517,0.9095566601387012,0.5712290719562622,0.36121321476971135,0.9020228054377353,0.09044333986129949,0.4287709280437373,0.6387867852302891,1.989228495869992,0.0,0.0,0.0,0.0,1.4191554060900053,0.5272659864912722,0.3122124429245038
5.495049504950495,0.09822047969577331,0.9098025508441946,0.5742032211906903,0.3645294131708802,0.9017795203042271,0.09019744915580602,0.42579677880930916,0.6354705868291203,1.989228495869992,0.0,0.0,0.0,0.0,1.4050472204886306,0.5360621264801156,0.31717296696627023
5.5949594959495945,0.09844506454677679,0.9100321191981812,0.5770225548613404,0.367668994352681,0.9015549354532236,0.08996788080181936,0.42297744513865915,0.6323310056473195,1.989228495869992,0.0,0.0,0.0,0.0,1.3910792879620686,0.5446312681761497,0.3219766302524977
5.694869486948694,0.09865209900639312,0.9102475907102885,0.5796950342459337,0.370640454850835,0.9013479009936074,0.08975240928971202,0.42030496575406584,0.6293595451491655,1.989228495869992,0.0,0.0,0.0,0.0,1.3772502142129526,0.5529770555863439,0.3266240041137139
5.794779477947794,0.09884267015103111,0.9104507240842472,0.5822282237976529,0.3734520141333397,0.9011573298489693,0.08954927591575332,0.4177717762023467,0.6265479858666608,1.989228495869992,0.0,0.0,0.0,0.0,1.3635586188096886,0.5611030826836232,0.33111646540828443
5.894689468946894,0.0990178049290272,0.9106429149544805,0.5846293075268072,0.37611160516511655,0.9009821950709733,0.08935708504552002,0.4153706924731925,0.6238883948348839,1.989228495869992,0.0,0.0,0.0,0.0,1.3500031350520783,0.5690128940199591,0.33545605578178006
5.994599459945994,0.09917847345081694,0.9108253004515737,0.586905109215586,0.37862686587530675,0.9008215265491836,0.08917469954842686,0.4130948907844135,0.6213731341246939,1.989228495869992,0.0,0.0,0.0,0.0,1.3365824098107324,0.5767099854643907,0.3396453248658209
6.094509450945094,0.09932559115891644,0.910998785989605,0.5890621059845345,0.3810051386096655,0.9006744088410841,0.08900121401039551,0.41093789401546515,0.6189948613903351,1.989228495869992,0.0,0.0,0.0,0.0,1.3232951034187788,0.5841978046984394,0.34368725765992225
6.194419441944194,0.09946002172174342,0.9111641138000716,0.5911064460607416,0.38325346764225265,0.900539978278257,0.08883588619992892,0.40889355393925814,0.6167465323577479,1.989228495869992,0.0,0.0,0.0,0.0,1.3101398895260923,0.5914797518834585,0.3475851605553691
6.294329432943294,0.09958257958138149,0.9113219043642219,0.5930439643842531,0.3853786004500312,0.900417420418619,0.08867809563577862,0.40695603561574656,0.6146213995499693,1.989228495869992,0.0,0.0,0.0,0.0,1.2971154549675992,0.5985591802615868,0.351342579559225
6.394239423942394,0.09969403242649293,0.9114726817771294,0.5948801978281711,0.38738699088767503,0.9003059675735076,0.08852731822287112,0.4051198021718285,0.6126130091123254,1.989228495869992,0.0,0.0,0.0,0.0,1.2842204996326076,0.6054393967507024,0.35496323327118035
6.494149414941494,0.09979510358330575,0.9116168887280983,0.5966203999511,0.3892848038689382,0.9002048964166948,0.08838311127190215,0.4033796000488998,0.6107151961310623,1.989228495869992,0.0,0.0,0.0,0.0,1.271453736335182,0.6121236625333549,0.35845095746679795
6.594059405940594,0.09988647431954407,0.9117549108986366,0.5982695549096049,0.39107792099262123,0.9001135256804564,0.08824508910136387,0.40173044509039485,0.6089220790073793,1.989228495869992,0.0,0.0,0.0,0.0,1.2588138906855557,0.6186151936398357,0.36180965326922077
6.693969396939694,0.09996878604584711,0.9118870873918188,0.5998323908351276,0.39277194755060774,0.9000312139541534,0.08811291260818167,0.400167609164872,0.6072280524493928,1.989228495869992,0.0,0.0,0.0,0.0,1.2462997009630736,0.6249171615227754,0.36504324883483363
6.7938793879387935,0.10004264244030733,0.9120137199435813,0.6013133927212536,0.39437222002209144,0.8999573575596932,0.08798628005641919,0.39868660727874605,0.6056277799779091,1.989228495869992,0.0,0.0,0.0,0.0,1.2339099179901518,0.6310326936261406,0.3681556652733151
